174     | 154.53.224.166   | 154.48.0.0/12       | US | arin     |            | COGENT-174 - Cogent Communications, US
2828    | 104.118.244.207  | 104.118.240.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.244.95   | 104.118.240.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.245.137  | 104.118.240.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.249.200  | 104.118.240.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.249.30   | 104.118.240.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.249.34   | 104.118.240.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.250.29   | 104.118.240.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.250.71   | 104.118.240.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.252.19   | 104.118.240.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.253.95   | 104.118.240.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.119.40.29    | 104.119.40.0/22     | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.119.42.136   | 104.119.40.0/22     | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.119.42.203   | 104.119.40.0/22     | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2914    | 153.254.147.65   | 153.254.0.0/15      | JP | apnic    | 2011-02-28 | NTT-COMMUNICATIONS-2914 - NTT America, Inc., US
2914    | 2001:418:1401:70::c0cc:1abb              | 2001:418::/32       | US | arin     | 2000-05-24 | NTT-COMMUNICATIONS-2914 - NTT America, Inc., US
2914    | 23.3.24.253      | 23.3.16.0/20        | US | arin     | 2010-12-17 | NTT-COMMUNICATIONS-2914 - NTT America, Inc., US
2914    | 61.251.98.169    | 61.251.96.0/20      | KR | apnic    | 2001-03-21 | NTT-COMMUNICATIONS-2914 - NTT America, Inc., US
3257    | 23.73.185.76     | 23.73.184.0/22      | US | arin     | 2013-01-25 | GTT-BACKBONE GTT, DE
3257    | 23.73.192.217    | 23.73.192.0/20      | US | arin     | 2013-01-25 | GTT-BACKBONE GTT, DE
3257    | 23.73.198.112    | 23.73.192.0/20      | US | arin     | 2013-01-25 | GTT-BACKBONE GTT, DE
3257    | 23.73.210.170    | 23.73.208.0/20      | US | arin     | 2013-01-25 | GTT-BACKBONE GTT, DE
3257    | 23.73.210.183    | 23.73.208.0/20      | US | arin     | 2013-01-25 | GTT-BACKBONE GTT, DE
3320    | 217.6.164.162    | 217.0.0.0/13        | DE | ripencc  | 2000-07-28 | DTAG Internet service provider operations, DE
3356    | 8.254.230.11     | 8.128.0.0/9         | US | arin     |            | LEVEL3 - Level 3 Communications, Inc., US
3462    | 220.130.123.170  | 220.130.0.0/16      | TW | apnic    | 2003-06-09 | HINET Data Communication Business Group, TW
3561    | 216.34.181.60    | 216.34.176.0/20     | US | arin     |            | CENTURYLINK-LEGACY-SAVVIS - Savvis, US
4134    | 124.225.65.154   | 124.225.0.0/16      | CN | apnic    | 2006-05-31 | CHINANET-BACKBONE No.31,Jin-rong Street, CN
4134    | 180.97.161.120   | 180.96.0.0/11       | CN | apnic    | 2009-07-23 | CHINANET-BACKBONE No.31,Jin-rong Street, CN
4134    | 58.215.65.137    | 58.208.0.0/12       | CN | apnic    | 2005-06-24 | CHINANET-BACKBONE No.31,Jin-rong Street, CN
4134    | 58.222.24.156    | 58.208.0.0/12       | CN | apnic    | 2005-06-24 | CHINANET-BACKBONE No.31,Jin-rong Street, CN
4134    | 58.222.24.158    | 58.208.0.0/12       | CN | apnic    | 2005-06-24 | CHINANET-BACKBONE No.31,Jin-rong Street, CN
4196    | 159.45.66.145    | 159.45.66.0/24      | US | arin     |            | AS4196 - Wells Fargo & Company, US
4694    | 202.239.30.129   | 202.239.16.0/20     | JP | apnic    |            | IDC Yahoo Japan Corporation, JP
4694    | 203.183.234.2    | 203.183.0.0/16      | JP | apnic    |            | IDC Yahoo Japan Corporation, JP
4694    | 210.129.120.44   | 210.129.0.0/16      | JP | apnic    |            | IDC Yahoo Japan Corporation, JP
4694    | 210.129.151.129  | 210.129.0.0/16      | JP | apnic    |            | IDC Yahoo Japan Corporation, JP
4766    | 23.248.160.250   | 23.248.160.0/24     | US | arin     | 2013-11-05 | KIXS-AS-KR Korea Telecom, KR
4808    | 118.186.65.161   | 118.186.64.0/21     | CN | apnic    | 2007-10-19 | CHINA169-BJ China Unicom Beijing Province Network, CN
4808    | 118.26.205.30    | 118.26.200.0/21     | CN | apnic    | 2007-08-03 | CHINA169-BJ China Unicom Beijing Province Network, CN
4808    | 123.126.98.151   | 123.126.64.0/18     | CN | apnic    | 2007-01-29 | CHINA169-BJ China Unicom Beijing Province Network, CN
4808    | 42.62.1.150      | 42.62.0.0/21        | CN | apnic    | 2011-03-10 | CHINA169-BJ China Unicom Beijing Province Network, CN
4808    | 54.222.60.218    | 54.222.60.0/22      | CN | apnic    |            | CHINA169-BJ China Unicom Beijing Province Network, CN
4812    | 222.73.144.195   | 222.73.0.0/16       | CN | apnic    | 2003-10-24 | CHINANET-SH-AP China Telecom (Group), CN
4812    | 61.129.65.103    | 61.129.0.0/17       | CN | apnic    |            | CHINANET-SH-AP China Telecom (Group), CN
4837    | 211.90.28.233    | 211.90.0.0/18       | CN | apnic    | 2000-04-11 | CHINA169-BACKBONE CNCGROUP China169 Backbone, CN
4837    | 218.60.45.42     | 218.60.0.0/16       | CN | apnic    | 2001-06-19 | CHINA169-BACKBONE CNCGROUP China169 Backbone, CN
4837    | 42.236.74.244    | 42.224.0.0/12       | CN | apnic    | 2011-02-17 | CHINA169-BACKBONE CNCGROUP China169 Backbone, CN
4847    | 123.196.118.86   | 123.196.112.0/20    | CN | apnic    | 2006-12-07 | CNIX-AP China Networks Inter-Exchange, CN
5602    | 212.97.32.174    | 212.97.32.0/19      | IT | ripencc  |            | Internet Service Provider, IT
